Course Code,Division,AA,AB,AP,AU,BB,BC,CC,CD,DD,DX,FF,FR,II,NP,PP,Total
PS 652,Main,2.0,,,2.0,,,,,,,,,,,,4
PSS801,Main,,2.0,,,5.0,,,,,,,,,,,7
SC 301,M,3.0,2.0,,,7.0,2.0,3.0,,,,,2.0,,,,19
SC 401,Main,4.0,,,1.0,,,,,,,1.0,,,,,6
SC 401,M,1.0,,,,,,,,,,,,,,,1
SC 618,Main,2.0,5.0,,1.0,5.0,3.0,5.0,1.0,,,,2.0,,,,24
SC 618,M,,,,,1.0,,1.0,1.0,,,,,,,,3
SC 625,Main,7.0,12.0,1.0,,14.0,5.0,17.0,14.0,7.0,,,3.0,,,,80
SC 625,M,,,,,,,,1.0,1.0,,,,,,,2
SC 631,Main,5.0,4.0,,,3.0,6.0,11.0,3.0,5.0,,,,,,,37
SC 631,M,,5.0,,,,5.0,2.0,2.0,4.0,,,,,,,18
SC 639,Main,6.0,30.0,,,44.0,9.0,,,,,,2.0,,,,91
SC 639,M,11.0,13.0,,,24.0,5.0,,,,,,,,,,53
SC 649,Main,4.0,7.0,,1.0,8.0,4.0,2.0,2.0,,,,1.0,,,,29
SC 649,M,2.0,4.0,,,4.0,,1.0,,2.0,,,1.0,,,,14
SC 650,Main,5.0,1.0,,,1.0,,1.0,,,,,,,,,8
SC 653,Main,9.0,11.0,,5.0,13.0,8.0,1.0,,,,1.0,,,,,48
SC 653,M,,,,,4.0,3.0,1.0,,,,,,,,,8
SC 655,Main,2.0,3.0,,,5.0,2.0,1.0,3.0,2.0,,,,,,,18
SC 655,M,,,,,1.0,2.0,1.0,2.0,,,,,,,,6
SC 691,Main,4.0,,,,,,,,,,,,,,,4
SC 694,Main,1.0,1.0,,,,,,,,,,,,,,2
SC 899,Main,,,,,,,,,,,,,,1.0,34.0,35
SCS801,Main,3.0,1.0,,,,,,,,,,,,,,4
SCS802,Main,1.0,,,,,,,,,,,,,,,1
TD 390,Main,17.0,5.0,,,3.0,5.0,,,,,,,,,,30
TD 490,Main,1.0,2.0,,,,,,,,,,,,,,3
TD 602,Main,6.0,20.0,,1.0,9.0,4.0,1.0,1.0,,,,,1.0,,,43
TD 603,Main,6.0,10.0,,,9.0,3.0,1.0,,1.0,,,2.0,1.0,,,33
TD 607,Main,4.0,3.0,,,10.0,7.0,6.0,4.0,,,,,,,,34
TD 608,Main,11.0,20.0,,,19.0,17.0,5.0,6.0,2.0,,,,6.0,,,86
TD 609,Main,11.0,8.0,,,,,,,,,,,,,,19
TD 613,Main,5.0,9.0,,,9.0,8.0,7.0,4.0,5.0,,,,,,,47
TD 621,Main,6.0,2.0,,,3.0,1.0,1.0,2.0,1.0,,,,,,,16
TD 626,Main,7.0,17.0,,,7.0,4.0,1.0,,,,,,1.0,,,37
TD 628,Main,1.0,5.0,,,4.0,7.0,1.0,3.0,,,,,,,,21
TD 631,Main,4.0,1.0,,1.0,,,,,,,,,,,,6
TD 638,Main,9.0,23.0,,,17.0,9.0,1.0,,,,,,,,,60
TD 651,Main,,2.0,,4.0,,1.0,,,,,,,1.0,,,8
TD 694,Main,1.0,1.0,,,1.0,,,,,,,,,,,3
TD 899,Main,,,,,,,,,,,,,,,40.0,40
TDE601,Main,2.0,2.0,,,,,,,,,,,,,,4
TDE603,Main,,,,,,,,,,,,,,,4.0,4
TDE605,Main,,1.0,,,1.0,1.0,,,,,,,1.0,,,4
TDE606,Main,,,,,1.0,3.0,,,,,,,,,,4
TDE611,Main,,1.0,,,1.0,,,,,,,,2.0,,,4
TDE612,Main,2.0,2.0,,,1.0,1.0,,,,,,,,,,6
TDE613,Main,2.0,2.0,,,1.0,,,,,,,,,,,5
