Course Code,Division,AA,AB,AP,AU,BB,BC,CC,CD,DD,DX,FF,FR,II,NP,PP,Total
EN 409,Main,1.0,,,,2.0,4.0,7.0,4.0,,,,,,,,18
EN 411,Main,4.0,2.0,,,4.0,4.0,3.0,1.0,4.0,,,,,,,22
EN 413,Main,3.0,2.0,,,3.0,3.0,3.0,2.0,1.0,,,1.0,,,,18
EN 415,Main,3.0,9.0,,,6.0,,,,,,,,,,,18
EN 417,Main,4.0,7.0,,,3.0,2.0,2.0,,,,,,,,,18
EN 601,Main,3.0,2.0,,,3.0,9.0,5.0,5.0,12.0,,,4.0,,,,43
EN 602,Main,3.0,3.0,,,8.0,6.0,3.0,3.0,1.0,,,,,,,27
EN 606,Main,5.0,14.0,,,29.0,8.0,1.0,,,,,,,,,58
EN 609,Main,10.0,14.0,,,2.0,,,,,,,1.0,,,,27
EN 618,Main,5.0,4.0,,,10.0,16.0,11.0,2.0,,,,,,,,49
EN 624,Main,4.0,14.0,,,16.0,6.0,3.0,,,,,1.0,,,,44
EN 655,Main,3.0,2.0,,,2.0,4.0,3.0,1.0,,,,,,,,15
EN 657,Main,2.0,6.0,,,7.0,2.0,6.0,5.0,3.0,,,7.0,,,,38
EN 663,Main,1.0,1.0,,,1.0,3.0,1.0,,1.0,,,,,,,8
EN 665,Main,3.0,3.0,,,2.0,,,,,,,,,,,8
EN 691,Main,6.0,3.0,,,4.0,1.0,,,,,,,,,,14
EN 694,Main,4.0,12.0,,,8.0,2.0,1.0,,,,,,,,,27
EN 703,Main,,,,,,,,,,,,,,,,1
EN 899,Main,,,,,,,,,,,,,,1.0,53.0,54
ENS801,Main,2.0,4.0,,,3.0,1.0,2.0,,,,,,,,,13
ENT101,Main,46.0,69.0,3.0,,35.0,36.0,8.0,2.0,,,,,1.0,,,200
ENT602,Main,6.0,7.0,,,12.0,6.0,3.0,,,,2.0,,,,,36
ENT602,M,1.0,3.0,,,3.0,4.0,,,,,,,,,,11
ENT603,Main,37.0,68.0,4.0,2.0,22.0,20.0,4.0,3.0,,,,,,,,160
ENT603,M,24.0,31.0,,,10.0,8.0,,,,,,,,,,73
ENT603,S1,1.0,,,,,,,,,,,,,,,1
ENT609,Main,4.0,8.0,,,9.0,1.0,,1.0,1.0,,,1.0,,,,25
ENT609,M,3.0,3.0,,,5.0,2.0,,1.0,,,,,,,,14
ENT611,Main,9.0,5.0,,,9.0,6.0,2.0,10.0,,,,,,,,41
ENT611,M,1.0,3.0,,,5.0,1.0,2.0,2.0,1.0,,1.0,,,,,16
ENT612,Main,11.0,12.0,,1.0,22.0,1.0,,,,,,3.0,,,,50
ENT612,M,1.0,2.0,,,2.0,3.0,,,,,,1.0,,,,9
ENT614,Main,5.0,8.0,,3.0,6.0,4.0,1.0,1.0,,,,,1.0,,,29
ENT614,M,1.0,1.0,,,5.0,5.0,3.0,,,,,,2.0,,,17
ENT615,Main,3.0,6.0,,1.0,2.0,3.0,4.0,2.0,1.0,,,,1.0,,,23
ENT615,M,2.0,1.0,,,1.0,2.0,4.0,2.0,1.0,,1.0,,,,,14
ENT617,Main,7.0,7.0,,,9.0,3.0,1.0,3.0,3.0,,,,1.0,,,34
ENT617,M,,2.0,,,1.0,,3.0,2.0,,,,,,,,8
ENT701,Main,,1.0,,,4.0,,,,,,,,,,,5
ENT899,Main,,,,,,,,,,,,,,,5.0,5
ES 101,Main,11.0,15.0,,,14.0,4.0,,,,,,,,,,44
ES 102,Main,,1.0,,,1.0,,,,,,,,,,,2
ES 200,Main,159.0,144.0,,,105.0,61.0,35.0,10.0,1.0,,,5.0,,,,520
ES 201,Main,12.0,15.0,,,7.0,6.0,4.0,5.0,5.0,,,1.0,,,,55
ES 203,M,1.0,,,,,1.0,2.0,,,,,1.0,,,,5
ES 209,Main,1.0,6.0,,,5.0,5.0,6.0,6.0,6.0,,,,2.0,,,37
ES 213,Main,8.0,25.0,,,6.0,3.0,2.0,,,,,,,,,44
ES 216,Main,7.0,7.0,,1.0,8.0,6.0,7.0,1.0,2.0,,,,,,,39
ES 225,Main,5.0,17.0,,,11.0,4.0,5.0,2.0,,,,,,,,44
ES 250,Main,,,,,,,,,,,,,,19.0,763.0,782
ES 250,D1,,,,,,,,,,,,,,,1.0,1
ES 296,Main,2.0,2.0,,,3.0,,,,,,,,1.0,,,8
ES 308,Main,8.0,9.0,,,8.0,8.0,2.0,1.0,,,,1.0,,,,37
ES 315,Main,5.0,4.0,,,6.0,4.0,4.0,11.0,1.0,,,,,,,35
ES 317,Main,8.0,10.0,,,14.0,8.0,4.0,,,,,,,,,44
ES 351,Main,29.0,14.0,,,2.0,,,,,,,,,,,45
ES 407,Main,7.0,9.0,,,5.0,7.0,2.0,1.0,,,,,,,,31
ES 451,Main,21.0,24.0,,,16.0,3.0,2.0,3.0,1.0,,,2.0,,,,72
ES 494,Main,2.0,2.0,,,,,,,,,,,,,,4
ES 601,Main,10.0,2.0,,,6.0,8.0,2.0,2.0,2.0,,,2.0,,,,34
ES 631,Main,2.0,7.0,,,5.0,12.0,1.0,,,,,5.0,1.0,,,33
ES 633,Main,3.0,4.0,,,5.0,7.0,4.0,3.0,,,,4.0,2.0,,,32
ES 635,Main,4.0,7.0,,,7.0,3.0,6.0,,,,,5.0,,,,32
ES 637,Main,5.0,7.0,,,8.0,3.0,2.0,4.0,,,,4.0,,,,33
ES 639,Main,4.0,4.0,,,11.0,11.0,8.0,9.0,4.0,,4.0,3.0,1.0,,,59
ES 645,Main,11.0,5.0,,,6.0,1.0,5.0,2.0,2.0,,,,,,,32
ES 647,Main,4.0,9.0,,,10.0,7.0,6.0,,,,,4.0,,,,40
ES 649,Main,10.0,5.0,,,10.0,9.0,2.0,3.0,,,,,,,,39
ES 651,Main,6.0,13.0,,,5.0,,,,,,,5.0,,,,29
ES 653,Main,,,,,5.0,7.0,10.0,9.0,1.0,,,8.0,,,,40
ES 655,Main,11.0,12.0,2.0,,12.0,14.0,4.0,11.0,2.0,,,,,,,68
ES 657,Main,8.0,13.0,,,18.0,3.0,2.0,,,,,,1.0,,,45
ES 659,Main,3.0,2.0,,,1.0,4.0,2.0,,,,,1.0,,,,13
ES 691,Main,2.0,2.0,,,,,,,,,,1.0,,,,5
ES 694,Main,1.0,4.0,,,9.0,,,,,,,5.0,,,,19
ES 899,Main,,,,,,,,,,,,,,5.0,44.0,49
ESS801,Main,10.0,1.0,,,,,,,,,,,1.0,,,12
ET 601,Main,7.0,5.0,,,2.0,,,,,,,,,,,14
ET 606,Main,7.0,6.0,,,1.0,,,,,,,,,,,14
ET 610,Main,6.0,7.0,,,5.0,,,,,,,,,,,18
ET 612,Main,5.0,6.0,,,3.0,,,,,,,,,,,14
ET 613,Main,10.0,7.0,,,,,,,,,,,,,,17
ET 619,Main,2.0,3.0,,,2.0,,,,,,,,,,,7
ET 622,Main,,2.0,,,5.0,2.0,,,,,,,,,,9
ET 694,Main,,1.0,,,,,,,,,,,,,,1
ET 899,Main,,,,,,,,,,,,,,,15.0,15
GNR401,M,1.0,4.0,,,2.0,1.0,1.0,,,,,,,,,9
GNR407,M,,,,,1.0,,,,,,,,,,,1
GNR603,Main,12.0,12.0,,,7.0,9.0,3.0,1.0,,,,1.0,,,,45
GNR605,Main,6.0,5.0,,,21.0,13.0,1.0,8.0,4.0,,3.0,,,,,61
GNR607,Main,4.0,17.0,,,11.0,8.0,2.0,3.0,6.0,,5.0,,,,,56
GNR615,Main,7.0,14.0,,1.0,8.0,1.0,,,,,1.0,,,,,32
GNR617,Main,19.0,10.0,,,2.0,,,,,,1.0,,,,,32
GNR619,Main,7.0,12.0,,,9.0,11.0,8.0,5.0,,,,1.0,,,,53
GNR621,Main,8.0,15.0,,,8.0,3.0,,,,,,,2.0,,,36
GNR623,Main,12.0,7.0,,,5.0,1.0,3.0,,,,,1.0,,,,29
GNR627,Main,15.0,17.0,,1.0,11.0,9.0,3.0,1.0,,,,1.0,,,,58
GNR636,Main,,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,6
GNR650,Main,9.0,9.0,,2.0,,,1.0,,,,,,,,,21
GNR653,Main,1.0,3.0,,2.0,,,1.0,,,,,,,,,7
GNR899,Main,,,,,,,,,,,,,,,5.0,5
GNRS01,Main,5.0,,,,,,,,,,,,,,,5
GP 401,Main,9.0,7.0,,,,1.0,,,,,,,,,,17
GP 403,Main,3.0,5.0,,,1.0,3.0,3.0,,3.0,,1.0,,,,,19
GP 407,Main,8.0,8.0,,,1.0,,,,,,,,,,,17
GP 413,Main,1.0,3.0,,,4.0,7.0,1.0,2.0,1.0,,,,,,,19
GP 415,Main,10.0,7.0,,,1.0,,,,,,,,,,,18
GP 503,Main,9.0,4.0,,,3.0,1.0,1.0,1.0,,,,,,,,19
GP 505,Main,9.0,4.0,,1.0,3.0,3.0,,,,,,,,,,20
GP 517,Main,3.0,6.0,,,6.0,1.0,1.0,1.0,1.0,,,,,,,19
GP 519,Main,9.0,2.0,,,4.0,3.0,1.0,,,,,,,,,19
GP 521,Main,13.0,5.0,,,1.0,,,,,,,,,,,19
GP 523,Main,,,,,,,,,,,,,,,19.0,19
GP 525,Main,2.0,6.0,,,,,,,,,,,,,,8
GS 407,Main,6.0,13.0,,,12.0,7.0,2.0,,,,,,,,,40
GS 413,Main,7.0,10.0,,,11.0,7.0,2.0,3.0,,,,,,,,40
GS 415,Main,18.0,10.0,,,6.0,2.0,5.0,,1.0,,,,,,,42
GS 421,Main,3.0,33.0,,,4.0,,,,,,,,,,,40
GS 433,Main,24.0,15.0,,,2.0,,,,,,,1.0,,,,42
GS 435,Main,16.0,14.0,,,6.0,1.0,2.0,,1.0,,,,,,,40
GS 507,Main,12.0,13.0,,,17.0,10.0,6.0,2.0,1.0,,,,,,,61
GS 517,Main,3.0,11.0,,,11.0,8.0,4.0,,2.0,,1.0,,,,,40
GS 519,Main,10.0,24.0,,1.0,5.0,,,,,,,,,,,40
GS 527,Main,6.0,16.0,,,14.0,2.0,1.0,,,,,,,,,39
GS 535,Main,7.0,15.0,1.0,,11.0,11.0,8.0,7.0,4.0,,,,,,,64
GS 537,Main,2.0,5.0,,,16.0,12.0,5.0,2.0,1.0,,,,,,,43
GS 539,Main,24.0,8.0,,,4.0,3.0,,,,,,,,,,39
GS 541,Main,9.0,23.0,,,6.0,1.0,,,,,,,,,,39
GS 543,Main,15.0,27.0,,,10.0,15.0,9.0,,,,,,,,,76
GS 551,Main,,,,,,,,,,,,,,,39.0,39
GS 647,Main,2.0,2.0,,,2.0,,,,,,,,,,,6
GS 663,Main,3.0,2.0,,,,,,,,,,,,,,5
GS 666,Main,7.0,9.0,,,,,,,,,,,,,,16
GS 671,Main,4.0,4.0,,,1.0,1.0,,,,,,,,,,10
GS 673,Main,2.0,3.0,,,4.0,,,,,,,,,,,9
GS 675,Main,14.0,6.0,,,8.0,2.0,1.0,,,,,,,,,31
GS 679,Main,5.0,13.0,,,10.0,,,,,,,,,,,28
GS 686,Main,4.0,7.0,,3.0,4.0,,,,,,,,,,,18
GS 687,Main,9.0,1.0,,,,,,,,,,,,,,10
GS 688,Main,13.0,5.0,,,4.0,2.0,,,,,,,,,,24
GS 691,Main,4.0,,,,,,,,,,,,,,,4
GS 694,Main,4.0,11.0,,,9.0,,,,,,,,,,,24
GS 701,Main,,9.0,,,10.0,,,,,,,,,,,19
GS 709,Main,4.0,,,2.0,,,,,,,,,,,,6
GS 814,Main,4.0,2.0,,1.0,1.0,,,,,,,,,,,8
GS 815,Main,1.0,1.0,,,,,,,,,,,,,,2
GS 821,Main,,,,,1.0,,,,,,,,,,,1
GS 827,Main,3.0,,,,,,,,,,,,,,,3
GS 831,Main,6.0,5.0,,,2.0,,,,,,,,,,,13
GS 832,Main,4.0,,,,,,,,,,,,,,,4
GS 833,Main,3.0,,,,,,,,,,,,,,,3
GS 859,Main,1.0,1.0,,,,,,,,,,,,,,2
GS 899,Main,,,,,,,,,,,,,,,50.0,50
GSS801,Main,15.0,8.0,,,1.0,,,,,,,,,,,24
HS 108,S1,18.0,13.0,,,5.0,4.0,6.0,8.0,3.0,,,,,,,57
HS 108,S2,12.0,31.0,2.0,,59.0,30.0,15.0,4.0,2.0,,,,,,,155
HS 109,S1,5.0,16.0,,,21.0,21.0,4.0,1.0,3.0,,,,,,,71
HS 109,S2,19.0,34.0,1.0,,61.0,21.0,15.0,4.0,,,2.0,,,,,157
HS 113,S1,3.0,6.0,,,7.0,4.0,4.0,4.0,2.0,,1.0,,,,,31
HS 113,S2,4.0,6.0,,,6.0,9.0,3.0,4.0,1.0,,,,,,,33
HS 113,S3,1.0,7.0,,,6.0,10.0,,4.0,2.0,,,,,,,30
HS 113,S4,3.0,6.0,,,6.0,3.0,3.0,4.0,,,,,,,,25
HS 200,Main,73.0,88.0,,,113.0,102.0,92.0,43.0,13.0,,,9.0,,,,533
HS 207,M,7.0,4.0,,,6.0,,,,,,,,,,,17
HS 250,Main,,,,,,,,,,,,,,15.0,777.0,792
HS 307,Main,3.0,3.0,,,5.0,7.0,6.0,3.0,4.0,,,5.0,,,,36
HS4112,Main,1.0,3.0,,,1.0,2.0,,,,,,,,,,7
HS 436,Main,15.0,17.0,,,19.0,17.0,19.0,17.0,7.0,,,,,,,111
HS 443,Main,2.0,4.0,,,1.0,3.0,2.0,,,,,,,,,12
HS 449,Main,7.0,9.0,,1.0,6.0,7.0,11.0,1.0,4.0,,,,,,,46
HS 451,Main,5.0,8.0,,,13.0,3.0,2.0,5.0,,,,1.0,,,,37
HS 467,Main,6.0,6.0,,,12.0,10.0,10.0,2.0,1.0,,,2.0,,,,49
HS 491,Main,6.0,4.0,,,6.0,5.0,5.0,2.0,3.0,,,,,,,31
HS 501,Main,3.0,2.0,,,3.0,,,,,,,,,,,9
HS 503,Main,2.0,4.0,,,1.0,1.0,,,,,,,,,,9
HS 505,Main,1.0,3.0,,,3.0,1.0,,,,,,,,,,9
HS 552,Main,3.0,2.0,,2.0,3.0,1.0,,,,,,,1.0,,,12
HS 556,Main,7.0,7.0,,,1.0,1.0,,,,,,,,,,17
HS 597,Main,2.0,3.0,,,1.0,,1.0,,,,,,1.0,,,8
HS 599,Main,3.0,4.0,,,2.0,,,,,,,,,,,9
HS 623,Main,11.0,13.0,,,8.0,7.0,3.0,1.0,,,,,1.0,,,45
HS 626,Main,3.0,9.0,,,3.0,,,,,,,1.0,,,,16
HS 636,Main,13.0,20.0,1.0,,13.0,12.0,9.0,7.0,4.0,,5.0,,,,,84
HS 646,Main,1.0,4.0,,,2.0,1.0,,,,,,,,,,9
HS 647,Main,5.0,6.0,,,,,,,,,,,,,,12
HS 648,Main,1.0,2.0,,,3.0,1.0,1.0,,,,,,,,,9
HS 649,Main,4.0,4.0,,,2.0,,,,,,,,,,,11
HS 650,Main,4.0,2.0,,,2.0,,,,,,,,,,,9
HS 651,Main,5.0,3.0,,,,,,,,,,,,,,9
HS 652,Main,1.0,2.0,,,4.0,1.0,,,,,,,,,,9
HS 653,Main,2.0,2.0,,,2.0,1.0,1.0,,,,,,,,,9
HS 664,Main,1.0,5.0,,1.0,2.0,1.0,,,,,,1.0,,,,11
HS 665,Main,2.0,,,,,,,,,,,,,,,2
HS 676,Main,2.0,2.0,,,,,,,,,,,,,,4
HS 677,Main,4.0,3.0,,4.0,1.0,1.0,,,,,,,,,,13
HS 711,Main,2.0,,,,,,,,,,,,1.0,,,3
HS 712,Main,2.0,1.0,,,1.0,,,,,,,,,,,4
HS 800,Main,2.0,3.0,,2.0,2.0,,,,,,,,,,,9
HS 803,Main,1.0,2.0,,,,,,,,,,,1.0,,,4
HS 806,Main,2.0,2.0,,,,,,,,,,,,,,4
HS 809,Main,1.0,2.0,,,,,,,,,,,,,,3
HS 813,Main,,2.0,,,,,,,,,,,,,,2
HS 815,Main,2.0,,,,,,,,,,,,,,,2
HS 861,Main,2.0,1.0,,,,,,,,,,,,,,3
HS 862,Main,,1.0,,,,,,,,,,,,,,1
HS 865,Main,1.0,,,4.0,,,,,,,,,,,,5
HS 866,Main,1.0,2.0,,2.0,1.0,,,,,,,,,,,6
HS 899,Main,,,,,,,,,,,,,,1.0,24.0,25
HSS801,Main,3.0,6.0,,,1.0,,,,,,,,,,,10
DE 101,Main,2.0,17.0,,,17.0,,,,,,,,,,,36
DE 109,S1,91.0,47.0,,,7.0,4.0,,,1.0,,,,,,,150
DE 109,S2,74.0,51.0,,,18.0,6.0,4.0,2.0,1.0,,,,,,,156
DE 111,Main,8.0,18.0,,,10.0,,,,,,,,,,,36
DE 113,Main,9.0,15.0,,,6.0,6.0,,,,,,,,,,36
DE 115,Main,,10.0,,,17.0,8.0,2.0,,,,,,,,,37
DE 117,Main,,,,,4.0,16.0,8.0,6.0,2.0,,,1.0,,,,37
DE 119,Main,2.0,24.0,,,10.0,,,,,,,,,,,36
DE 135,Main,,20.0,,,16.0,,,,,,,,,,,36
DE 201,Main,8.0,17.0,,,7.0,3.0,1.0,,,,,,,,,36
DE 203,Main,10.0,17.0,,,7.0,1.0,,1.0,,,,,,,,36
DE 207,Main,9.0,14.0,,,12.0,,,,,,,,,,,35
DE 209,Main,,,,,34.0,,,,,,,,,,,34
DE 215,Main,,,,,3.0,3.0,5.0,,,,,,,,,11
DE 221,Main,14.0,17.0,,,5.0,,1.0,,,,,,,,,37
DE 224,Main,5.0,8.0,,,8.0,1.0,3.0,,,,,,,,,25
DE 231,Main,28.0,7.0,,,,,,,,,,,,,,35
DE 302,Main,,2.0,,,5.0,,,,2.0,,,,,,,9
DE 303,Main,1.0,9.0,,,6.0,,,,,,,2.0,,,,18
DE 307,Main,,,,,3.0,1.0,,,1.0,,,1.0,,,,6
DE 311,Main,1.0,,,,1.0,1.0,,,,,,,,,,3
DE 319,Main,,4.0,,,7.0,9.0,3.0,1.0,,,,1.0,,,,25
DE 320,Main,,,,,1.0,1.0,,,,,,,,,,2
DE 323,Main,11.0,1.0,,,1.0,,,,,,,,,,,13
DE 327,Main,3.0,2.0,,,2.0,1.0,,,,,,,,,,8
DE 329,Main,1.0,,,,,,,,,,,,,,,1
DE 331,Main,,3.0,,,2.0,,,,,,,,,,,5
DE 334,Main,39.0,54.0,,,3.0,1.0,,,,,,,,,,97
DE 335,Main,13.0,20.0,,1.0,7.0,,,,,,,1.0,,,,42
DE 337,Main,2.0,7.0,,,2.0,,2.0,,,,,1.0,,,,14
DE 338,Main,19.0,18.0,,,16.0,12.0,6.0,8.0,4.0,,,2.0,,,,85
DE 340,Main,6.0,22.0,,4.0,29.0,16.0,4.0,,2.0,,,,3.0,,,87
DE 379,Main,8.0,16.0,,,14.0,4.0,,2.0,,,,,,,,44
DE 405,Main,,,,,1.0,,,,,,,,,,,1
DE 410,Main,27.0,49.0,,1.0,49.0,3.0,8.0,,,,,4.0,,,,141
DE 417,Main,3.0,2.0,,,2.0,,1.0,,,,,,,,,8
DE 419,Main,10.0,13.0,,,5.0,,,,,,,1.0,,,,29
DE 431,Main,25.0,6.0,,,3.0,,2.0,,,,,,,,,36
DE 601,Main,,4.0,,,4.0,4.0,,,,,,,,,,12
DE 603,Main,1.0,5.0,,,8.0,,,,,,,,,,,14
DE 605,Main,1.0,8.0,,,4.0,1.0,,,,,,,,,,14
DE 607,Main,4.0,6.0,,,3.0,,,1.0,,,,1.0,,,,15
DE 609,Main,6.0,7.0,,,1.0,2.0,,,,,,,1.0,,,17
DE 610,Main,,3.0,,,8.0,4.0,,,,,,,,,,15
DE 611,Main,5.0,5.0,,,3.0,,,,,,,1.0,,,,14
DE 613,Main,5.0,8.0,,,10.0,4.0,2.0,,,,,,,,,29
DE 615,Main,13.0,1.0,,1.0,2.0,,,,,,,,,,,17
DE 617,Main,5.0,4.0,,,7.0,,,,,,,,,,,16
DE 619,Main,,16.0,,,,,,,,,,,,,,16
DE 621,Main,,,,,16.0,,,,,,,,,,,16
DE 623,Main,,16.0,,1.0,,,,,,,,,,,,17
DE 625,Main,1.0,4.0,,,8.0,3.0,,,,,,,,,,16
DE 627,Main,3.0,15.0,,,33.0,11.0,4.0,,,,,1.0,,,,67
DE 630,Main,2.0,10.0,,,,,,,,,,,,,,12
DE 637,Main,2.0,3.0,,,3.0,2.0,4.0,,,,,,,,,14
DE 641,Main,3.0,4.0,,,5.0,,,,,,,,,,,12
DE 643,Main,4.0,4.0,,,3.0,2.0,,,,,,,,,,13
DE 645,Main,3.0,3.0,,,3.0,4.0,,,,,,,,,,13
DE 647,Main,1.0,12.0,,,9.0,3.0,,,,,,1.0,,,,26
DE 649,Main,6.0,4.0,,,3.0,,,,,,,,,,,13
DE 651,Main,6.0,5.0,,,,1.0,1.0,,,,,,,,,13
DE 653,Main,4.0,4.0,,,5.0,,,,,,,,,,,13
DE 655,Main,6.0,6.0,,,,,,,,,,,,,,12
DE 657,Main,2.0,1.0,,,5.0,4.0,,,,,,,,,,12
DE 659,Main,3.0,4.0,,,5.0,,,,,,,,,,,12
DE 661,Main,2.0,8.0,,,2.0,,,,,,,,,,,12
DE 663,Main,,7.0,,,5.0,3.0,,,,,,1.0,,,,16
DE 665,Main,1.0,12.0,,,,,,,,,,,,,,13
DE 669,Main,9.0,3.0,,,9.0,,,,,,,,,,,21
DE 670,Main,8.0,3.0,,,1.0,,,,,,,,,,,12
DE 675,Main,2.0,6.0,,,2.0,2.0,,,,,,,,,,12
DE 677,Main,4.0,15.0,,,4.0,,,,,,,,,,,23
DE 679,Main,16.0,12.0,,,7.0,,,,,,,,,,,35
DE 687,Main,,3.0,,,3.0,2.0,,,,,,,,,,8
DE 688,Main,11.0,5.0,,,,,,,,,,,,,,16
DE 689,Main,2.0,2.0,,2.0,5.0,5.0,3.0,,,,,,,,,19
DE 692,Main,6.0,3.0,,,,1.0,2.0,,2.0,,,,,,,14
DE 698,Main,,1.0,,,7.0,8.0,3.0,,,,,,,,,19
DE 699,Main,,2.0,,,1.0,3.0,1.0,,,,,3.0,,,,10
DE 701,Main,6.0,4.0,,,7.0,,,,,,,,,,,17
DE 702,Main,4.0,19.0,,,27.0,13.0,5.0,,,,,1.0,,,,69
DE 705,Main,3.0,7.0,,,5.0,1.0,1.0,,,,,2.0,,,,19
DE 708,Main,1.0,7.0,,,4.0,,,,,,,,,,,12
DE 709,Main,2.0,5.0,,,4.0,1.0,,,,,,,,,,12
DE 710,Main,2.0,2.0,,,5.0,3.0,,,,,,,,,,12
DE 711,Main,,7.0,,,2.0,3.0,,,,,,,,,,12
DE 713,Main,2.0,4.0,,,3.0,,,,,,,,,,,9
DE 714,Main,6.0,5.0,,,2.0,1.0,,,,,,1.0,,,,15
DE 718,Main,10.0,15.0,,,5.0,,,,,,,,,,,30
DE 721,Main,,4.0,,,2.0,1.0,,,,,,,,,,7
DE 801,Main,,,,,2.0,2.0,,,,,,,,,,4
DE 802,Main,1.0,1.0,,,,1.0,,,,,,,,,,3
DE 803,Main,4.0,4.0,,,9.0,2.0,4.0,3.0,,,,2.0,,,,28
DE 804,Main,12.0,12.0,,,19.0,15.0,6.0,,1.0,,,,,,,65
DE 899,Main,,,,,,,,,,,,,,1.0,10.0,11
DEP102,Main,,,,,,,,,,,,,,,35.0,35
DEP204,Main,,,,,1.0,,,,,,,,,,,1
DEP301,Main,16.0,15.0,,,3.0,,,,,,,3.0,,,,37
DEP304,Main,,,,,,1.0,,,,,,,,,,1
DEP403,Main,,,,,,,1.0,,,,,,,,,1
DEP405,Main,12.0,9.0,,,11.0,1.0,5.0,,,,,5.0,,,,43
DEP410,Main,,,,,,,,,,,,3.0,,,,3
DEP501,Main,2.0,3.0,,,1.0,3.0,2.0,,,,,,,,,11
DEP701,Main,13.0,28.0,,,9.0,3.0,,,,,,1.0,,,,54
DEP702,Main,12.0,27.0,,,20.0,4.0,5.0,,,,,2.0,,,,70
DEP703,Main,,,,,1.0,,1.0,,,,,,,,,2
DEP704,Main,,3.0,,,2.0,,1.0,,,,,,,,,6
DEP706,Main,3.0,2.0,,,2.0,,,,,,,,,,,7
IE 101,Main,14.0,15.0,,,7.0,4.0,,,,,,1.0,,,,41
IE 401,Main,6.0,2.0,,,8.0,6.0,4.0,,,,,2.0,,,,28
IE 401,M,,,,,1.0,,5.0,,,,,,,,,6
IE 501,Main,,2.0,,1.0,10.0,26.0,18.0,11.0,1.0,,,3.0,,,,72
IE 501,M,3.0,6.0,,,15.0,14.0,8.0,2.0,1.0,,,,,,,49
IE 503,Main,4.0,27.0,,,36.0,34.0,24.0,17.0,8.0,,,3.0,1.0,,,154
IE 503,M,1.0,2.0,,,6.0,,11.0,12.0,1.0,,,1.0,,,,34
IE 507,Main,3.0,9.0,,,14.0,13.0,4.0,,,,,,10.0,,,53
IE 509,Main,13.0,2.0,,,,,,,,,,,,,,15
IE 605,Main,9.0,13.0,,,26.0,5.0,3.0,2.0,1.0,,,,,,,59
IE 609,Main,12.0,36.0,1.0,,28.0,15.0,2.0,1.0,1.0,,,,,,,96
IE 609,M,,8.0,,,6.0,6.0,7.0,2.0,2.0,,,,1.0,,,32
IE 621,Main,17.0,12.0,,1.0,40.0,12.0,23.0,3.0,,,1.0,2.0,,,,111
IE 621,M,5.0,6.0,,,14.0,6.0,20.0,2.0,,,,,,,,53
IE 643,Main,3.0,5.0,,,7.0,20.0,17.0,6.0,20.0,,,30.0,,,,108
IE 685,Main,4.0,5.0,,,4.0,1.0,,,,,,,,,,14
IE 688,Main,2.0,,,,,,,,,,,,,,,2
IE 708,Main,3.0,,,,2.0,2.0,1.0,,,,,,1.0,,,9
IE 708,M,,,,,1.0,2.0,1.0,,,,,,,,,4
IE 802,Main,3.0,3.0,,,2.0,1.0,,,,,,,,,,9
IE 807,Main,,2.0,,,2.0,4.0,,1.0,,,,,,,,9
IE 899,Main,,,,,,,,,,,,,,,6.0,6
IES801,Main,1.0,3.0,,,2.0,,,,,,,,,,,6
LE 102,Main,1.0,7.0,,,3.0,4.0,,,,,,,,,,15
LE 301,Main,4.0,3.0,,,5.0,,,,,,,,,,,12
MA 105,D1,19.0,83.0,,,113.0,68.0,44.0,13.0,7.0,,,,1.0,,,348
