Course Code,Division,AA,AB,AP,AU,BB,BC,CC,CD,DD,FF,FR,II,NP,PP,Total
DE 335,Main,32.0,16.0,,,2.0,,,,,,,,,,50
DE 336,Main,,3.0,,,3.0,1.0,,,,,,,,,7
DE 338,Main,18.0,32.0,,,15.0,5.0,,7.0,7.0,,,,,,84
DE 339,Main,2.0,8.0,,,8.0,6.0,3.0,,,,5.0,,,,32
DE 339,M,,,,,,1.0,,,,,,,,,1
DE 340,Main,20.0,46.0,,,11.0,7.0,8.0,1.0,7.0,,,,,,100
DE 342,Main,30.0,7.0,,4.0,2.0,,1.0,,,,,,,,44
DE 344,Main,79.0,11.0,2.0,,4.0,1.0,2.0,2.0,1.0,1.0,,,,,103
DE 344,M,3.0,,,,,,,,,,,,,,3
DE 403,M,,,,,1.0,,,,,,,,,,1
DE 416,Main,,1.0,,,1.0,5.0,1.0,,,,,,,,8
DE 602,Main,,13.0,,,,,,,,,,,,,13
DE 604,Main,6.0,5.0,,,3.0,,,,,,,,,,14
DE 608,Main,6.0,5.0,,,1.0,1.0,,,,,,,,,13
DE 612,Main,25.0,33.0,,,5.0,2.0,,,,1.0,,,,,66
DE 614,Main,34.0,17.0,,,13.0,5.0,1.0,,,,1.0,,,,71
DE 616,Main,6.0,7.0,,,3.0,,,,,,,,,,16
DE 618,Main,1.0,12.0,,,1.0,1.0,1.0,,,,,,,,16
DE 624,Main,3.0,7.0,,,1.0,1.0,,,,,,,,,12
DE 626,Main,6.0,9.0,,,,,,,,,,,,,15
DE 628,Main,3.0,9.0,,,9.0,2.0,,,,,,,,,23
DE 632,Main,2.0,7.0,,,2.0,1.0,,,,,,,,,12
DE 634,Main,,6.0,,,6.0,1.0,,,,,,,,,13
DE 636,Main,2.0,4.0,,,4.0,1.0,1.0,,,,,,,,12
DE 638,Main,1.0,6.0,,,3.0,2.0,,,,,,,,,12
DE 640,Main,4.0,2.0,,,5.0,1.0,,,,,,,,,12
DE 642,Main,,7.0,,,5.0,,,,,,,,,,12
DE 644,Main,3.0,8.0,,,1.0,,,,,,,,,,12
DE 646,Main,3.0,7.0,,,2.0,,,,,,,,,,12
DE 648,Main,3.0,5.0,,,3.0,1.0,,,,,,,,,12
DE 650,Main,5.0,4.0,,,3.0,,,,,,,,,,12
DE 652,Main,3.0,3.0,,,4.0,2.0,,,,,,,,,12
DE 654,Main,5.0,6.0,,,3.0,,,,,,,,,,14
DE 656,Main,1.0,5.0,,,6.0,,,,,,,,,,12
DE 660,Main,,11.0,,,2.0,3.0,1.0,,,,,,,,17
DE 676,Main,7.0,3.0,,,2.0,,,,,,,,,,12
DE 683,Main,2.0,10.0,,,3.0,,,,,,,,,,15
DE 686,Main,1.0,1.0,,,,,2.0,,1.0,,,,,,5
DE 687,Main,19.0,15.0,,,11.0,4.0,,,1.0,,1.0,,,,51
DE 697,Main,,3.0,,,2.0,,,,,,,1.0,,,6
DE 712,Main,5.0,8.0,,,1.0,,,,,,,,,,14
DE 717,Main,1.0,19.0,,,4.0,,,,,,,,,,24
DE 725,Main,37.0,1.0,,,4.0,,,,,,,,,,42
DE 801,Main,1.0,1.0,,,,,,,,,,,,,2
DE 802,Main,1.0,1.0,,,,2.0,,,,,,,,,4
DE 803,Main,1.0,2.0,,,9.0,5.0,1.0,,,,2.0,,,,20
DE 804,Main,,1.0,,,10.0,,,,,,,,,,11
DE 899,Main,,,,,,,,,,,,,,2.0,2
DEP302,Main,22.0,15.0,,,,,,,,,,,,,37
DEP405,Main,,,,,,1.0,,,,,2.0,,,,3
DEP408,Main,6.0,10.0,,,5.0,3.0,6.0,,1.0,,3.0,,,,34
DEP410,Main,5.0,11.0,,,5.0,2.0,5.0,2.0,1.0,,2.0,,,,33
DEP502,Main,6.0,3.0,,,,,,,,,,,,,9
DEP504,Main,,3.0,,,6.0,,,,,,,,,,9
DEP602,Main,9.0,7.0,,,1.0,,,,,,,,,,17
DEP702,Main,,,,,,,1.0,,,,,,,,1
DEP703,Main,13.0,17.0,,,17.0,13.0,2.0,1.0,,,3.0,,,,66
DEP705,Main,,5.0,,,,,,,,,,1.0,,,6
DEP706,Main,,,,,1.0,,,,1.0,,,1.0,,,3
ID 413,Main,21.0,28.0,4.0,6.0,26.0,17.0,11.0,8.0,2.0,,5.0,,,,128
IE 102,Main,9.0,8.0,,,5.0,8.0,6.0,3.0,,1.0,,,,,40
IE 506,Main,6.0,5.0,1.0,,20.0,26.0,5.0,,4.0,,10.0,,,,78
IE 506,M,,,,,5.0,8.0,2.0,4.0,3.0,,,,,,22
IE 612,Main,2.0,6.0,,,6.0,9.0,7.0,,,,1.0,,,,32
IE 612,M,,1.0,,,,1.0,,,,,,,,,2
IE 614,Main,5.0,11.0,,,3.0,5.0,3.0,1.0,1.0,,1.0,,,,31
IE 616,Main,1.0,3.0,,,10.0,4.0,2.0,7.0,6.0,5.0,,8.0,,,46
IE 616,M,2.0,2.0,,,3.0,3.0,5.0,7.0,4.0,4.0,,,,,30
IE 619,Main,12.0,5.0,1.0,,7.0,7.0,3.0,7.0,9.0,21.0,,1.0,,,73
IE 619,M,1.0,1.0,,,,,,1.0,1.0,3.0,,,,,7
IE 620,Main,1.0,2.0,,1.0,3.0,2.0,1.0,,,1.0,,,,,11
IE 620,M,,,,,,2.0,,,,,,,,,2
IE 622,Main,5.0,4.0,,,8.0,1.0,,1.0,,1.0,,,,,20
IE 622,M,,1.0,,,2.0,,,3.0,1.0,,,,,,7
IE 630,Main,17.0,21.0,,,17.0,13.0,3.0,2.0,2.0,,1.0,1.0,,,79
IE 630,M,2.0,1.0,,,3.0,6.0,11.0,1.0,,,,,,,24
IE 647,Main,3.0,9.0,,1.0,11.0,14.0,22.0,8.0,2.0,,3.0,,,,74
IE 647,M,,1.0,,,,2.0,,,,,1.0,,,,4
IE 684,Main,9.0,20.0,,,12.0,8.0,1.0,,,,,,,,51
IE 688,Main,5.0,1.0,,,,,,,,,,,,,6
IE 694,Main,13.0,10.0,,,5.0,2.0,,,,,,,,,31
IE 714,Main,5.0,25.0,,1.0,19.0,10.0,4.0,1.0,,,,,,,66
IE 899,Main,,,,,,,,,,,,,,41.0,42
IES601,Main,6.0,1.0,,,5.0,1.0,,,,,1.0,,,,14
IES802,Main,3.0,3.0,,,2.0,,,,,,,,,,8
LE 101,Main,7.0,6.0,,1.0,1.0,,2.0,,,,,,,,17
LE 302,Main,2.0,8.0,,,1.0,1.0,,,,,,,,,12
MA 106,D1,,,,,,,1.0,1.0,2.0,1.0,,,,,5
MA 106,D2,,,,,,,,,1.0,3.0,,,,,4
MA 106,D3,,,,,,,1.0,1.0,,2.0,,,,,4
MA 106,D4,,,,,,,,,,3.0,,,,,3
MA 108,D1,,,,,,,1.0,,1.0,,3.0,,,,5
MA 108,D2,,,,,,,,,2.0,,1.0,,,,3
MA 108,D3,,,,,,,,,,,1.0,,,,1
MA 108,D4,,,,,,1.0,,,,,3.0,1.0,,,5
MA 110,D1,32.0,49.0,,,63.0,60.0,60.0,23.0,21.0,43.0,,5.0,,,356
MA 110,D2,22.0,53.0,,1.0,72.0,63.0,42.0,25.0,22.0,22.0,,4.0,,,326
MA 110,D3,105.0,77.0,12.0,,65.0,33.0,21.0,14.0,13.0,12.0,,4.0,,,356
